====================
Model: IMDN
Scale: x4
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 050] train_loss=0.0035 | train_psnr=27.60 dB | val_loss=0.0026 | val_psnr=28.19 dB | time=2.5s
[Epoch 051] train_loss=0.0036 | train_psnr=27.46 dB | val_loss=0.0026 | val_psnr=28.22 dB | time=2.5s
[Epoch 052] train_loss=0.0036 | train_psnr=27.50 dB | val_loss=0.0025 | val_psnr=28.20 dB | time=2.5s
[Epoch 053] train_loss=0.0036 | train_psnr=27.42 dB | val_loss=0.0025 | val_psnr=28.24 dB | time=2.5s
[Epoch 054] train_loss=0.0035 | train_psnr=27.59 dB | val_loss=0.0025 | val_psnr=28.23 dB | time=2.5s
[Epoch 055] train_loss=0.0036 | train_psnr=27.47 dB | val_loss=0.0026 | val_psnr=28.17 dB | time=2.5s
[Epoch 056] train_loss=0.0036 | train_psnr=27.35 dB | val_loss=0.0026 | val_psnr=27.96 dB | time=2.6s
[Epoch 057] train_loss=0.0035 | train_psnr=27.53 dB | val_loss=0.0026 | val_psnr=28.19 dB | time=2.6s
[Epoch 058] train_loss=0.0035 | train_psnr=27.53 dB | val_loss=0.0025 | val_psnr=28.28 dB | time=2.5s
[Epoch 059] train_loss=0.0034 | train_psnr=27.74 dB | val_loss=0.0025 | val_psnr=28.28 dB | time=2.5s
[Epoch 060] train_loss=0.0034 | train_psnr=27.67 dB | val_loss=0.0025 | val_psnr=28.32 dB | time=2.5s
[Epoch 061] train_loss=0.0035 | train_psnr=27.65 dB | val_loss=0.0025 | val_psnr=28.33 dB | time=2.5s
[Epoch 062] train_loss=0.0035 | train_psnr=27.56 dB | val_loss=0.0025 | val_psnr=28.34 dB | time=2.3s
[Epoch 063] train_loss=0.0034 | train_psnr=27.66 dB | val_loss=0.0024 | val_psnr=28.33 dB | time=2.5s
[Epoch 064] train_loss=0.0035 | train_psnr=27.56 dB | val_loss=0.0024 | val_psnr=28.35 dB | time=2.5s
[Epoch 065] train_loss=0.0033 | train_psnr=27.69 dB | val_loss=0.0025 | val_psnr=28.34 dB | time=2.6s
[Epoch 066] train_loss=0.0034 | train_psnr=27.55 dB | val_loss=0.0025 | val_psnr=28.16 dB | time=2.5s
[Epoch 067] train_loss=0.0033 | train_psnr=27.65 dB | val_loss=0.0025 | val_psnr=28.28 dB | time=2.4s
[Epoch 068] train_loss=0.0034 | train_psnr=27.69 dB | val_loss=0.0024 | val_psnr=28.33 dB | time=2.5s
[Epoch 069] train_loss=0.0034 | train_psnr=27.65 dB | val_loss=0.0024 | val_psnr=28.36 dB | time=2.5s
[Epoch 070] train_loss=0.0033 | train_psnr=27.80 dB | val_loss=0.0024 | val_psnr=28.38 dB | time=2.4s
[Epoch 071] train_loss=0.0033 | train_psnr=27.79 dB | val_loss=0.0024 | val_psnr=28.39 dB | time=2.5s
[Epoch 072] train_loss=0.0033 | train_psnr=27.63 dB | val_loss=0.0024 | val_psnr=28.38 dB | time=2.5s
[Epoch 073] train_loss=0.0034 | train_psnr=27.65 dB | val_loss=0.0024 | val_psnr=28.37 dB | time=2.5s
