====================
Model: FSRCNN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 050] train_loss=0.0041 | train_psnr=28.07 dB | val_loss=0.0024 | val_psnr=29.55 dB | time=2.3s
[Epoch 051] train_loss=0.0039 | train_psnr=28.28 dB | val_loss=0.0024 | val_psnr=29.61 dB | time=2.3s
[Epoch 052] train_loss=0.0039 | train_psnr=28.21 dB | val_loss=0.0023 | val_psnr=29.68 dB | time=2.4s
[Epoch 053] train_loss=0.0039 | train_psnr=28.32 dB | val_loss=0.0023 | val_psnr=29.74 dB | time=2.5s
[Epoch 054] train_loss=0.0038 | train_psnr=28.43 dB | val_loss=0.0023 | val_psnr=29.82 dB | time=2.4s
[Epoch 055] train_loss=0.0038 | train_psnr=28.35 dB | val_loss=0.0022 | val_psnr=29.88 dB | time=2.4s
[Epoch 056] train_loss=0.0038 | train_psnr=28.36 dB | val_loss=0.0022 | val_psnr=29.94 dB | time=2.5s
[Epoch 057] train_loss=0.0036 | train_psnr=28.52 dB | val_loss=0.0022 | val_psnr=29.92 dB | time=2.4s
[Epoch 058] train_loss=0.0037 | train_psnr=28.51 dB | val_loss=0.0021 | val_psnr=30.02 dB | time=2.6s
[Epoch 059] train_loss=0.0036 | train_psnr=28.57 dB | val_loss=0.0021 | val_psnr=30.06 dB | time=2.2s
[Epoch 060] train_loss=0.0036 | train_psnr=28.54 dB | val_loss=0.0021 | val_psnr=30.12 dB | time=2.2s
[Epoch 061] train_loss=0.0035 | train_psnr=28.64 dB | val_loss=0.0021 | val_psnr=30.15 dB | time=2.2s
[Epoch 062] train_loss=0.0035 | train_psnr=28.75 dB | val_loss=0.0020 | val_psnr=30.25 dB | time=2.2s
[Epoch 063] train_loss=0.0035 | train_psnr=28.71 dB | val_loss=0.0020 | val_psnr=30.32 dB | time=2.3s
[Epoch 064] train_loss=0.0034 | train_psnr=28.82 dB | val_loss=0.0020 | val_psnr=30.34 dB | time=2.4s
[Epoch 065] train_loss=0.0034 | train_psnr=28.80 dB | val_loss=0.0020 | val_psnr=30.39 dB | time=2.5s
[Epoch 066] train_loss=0.0034 | train_psnr=28.95 dB | val_loss=0.0020 | val_psnr=30.36 dB | time=2.4s
[Epoch 067] train_loss=0.0033 | train_psnr=28.89 dB | val_loss=0.0019 | val_psnr=30.45 dB | time=2.3s
[Epoch 068] train_loss=0.0033 | train_psnr=28.90 dB | val_loss=0.0019 | val_psnr=30.54 dB | time=2.3s
[Epoch 069] train_loss=0.0033 | train_psnr=29.06 dB | val_loss=0.0019 | val_psnr=30.59 dB | time=1.8s
[Epoch 070] train_loss=0.0032 | train_psnr=29.06 dB | val_loss=0.0019 | val_psnr=30.62 dB | time=1.8s
[Epoch 071] train_loss=0.0033 | train_psnr=29.11 dB | val_loss=0.0019 | val_psnr=30.64 dB | time=1.9s
[Epoch 072] train_loss=0.0031 | train_psnr=29.13 dB | val_loss=0.0018 | val_psnr=30.71 dB | time=1.8s
[Epoch 073] train_loss=0.0032 | train_psnr=29.13 dB | val_loss=0.0019 | val_psnr=30.71 dB | time=1.8s
[Epoch 074] train_loss=0.0032 | train_psnr=29.22 dB | val_loss=0.0018 | val_psnr=30.77 dB | time=1.7s
[Epoch 075] train_loss=0.0031 | train_psnr=29.25 dB | val_loss=0.0018 | val_psnr=30.82 dB | time=1.8s
[Epoch 076] train_loss=0.0032 | train_psnr=29.18 dB | val_loss=0.0018 | val_psnr=30.85 dB | time=1.8s
[Epoch 077] train_loss=0.0031 | train_psnr=29.29 dB | val_loss=0.0017 | val_psnr=30.85 dB | time=1.8s
[Epoch 078] train_loss=0.0030 | train_psnr=29.40 dB | val_loss=0.0017 | val_psnr=30.91 dB | time=1.8s
[Epoch 079] train_loss=0.0030 | train_psnr=29.44 dB | val_loss=0.0017 | val_psnr=30.75 dB | time=1.8s
[Epoch 080] train_loss=0.0031 | train_psnr=29.33 dB | val_loss=0.0017 | val_psnr=30.93 dB | time=1.9s
[Epoch 081] train_loss=0.0029 | train_psnr=29.52 dB | val_loss=0.0017 | val_psnr=30.94 dB | time=1.8s
[Epoch 082] train_loss=0.0030 | train_psnr=29.48 dB | val_loss=0.0017 | val_psnr=31.06 dB | time=1.8s
[Epoch 083] train_loss=0.0030 | train_psnr=29.46 dB | val_loss=0.0017 | val_psnr=31.08 dB | time=1.9s
[Epoch 084] train_loss=0.0030 | train_psnr=29.45 dB | val_loss=0.0017 | val_psnr=30.98 dB | time=1.7s
[Epoch 085] train_loss=0.0030 | train_psnr=29.51 dB | val_loss=0.0017 | val_psnr=31.17 dB | time=1.9s
[Epoch 086] train_loss=0.0028 | train_psnr=29.55 dB | val_loss=0.0016 | val_psnr=31.19 dB | time=1.8s
[Epoch 087] train_loss=0.0029 | train_psnr=29.50 dB | val_loss=0.0016 | val_psnr=31.15 dB | time=1.9s
[Epoch 088] train_loss=0.0029 | train_psnr=29.55 dB | val_loss=0.0016 | val_psnr=31.16 dB | time=1.8s
[Epoch 089] train_loss=0.0028 | train_psnr=29.65 dB | val_loss=0.0016 | val_psnr=31.29 dB | time=1.8s
[Epoch 090] train_loss=0.0027 | train_psnr=29.78 dB | val_loss=0.0016 | val_psnr=31.31 dB | time=1.8s
[Epoch 091] train_loss=0.0027 | train_psnr=29.77 dB | val_loss=0.0016 | val_psnr=31.30 dB | time=1.8s
[Epoch 092] train_loss=0.0028 | train_psnr=29.76 dB | val_loss=0.0015 | val_psnr=31.37 dB | time=1.8s
[Epoch 093] train_loss=0.0028 | train_psnr=29.67 dB | val_loss=0.0017 | val_psnr=31.23 dB | time=1.8s
[Epoch 094] train_loss=0.0028 | train_psnr=29.75 dB | val_loss=0.0015 | val_psnr=31.42 dB | time=1.8s
[Epoch 095] train_loss=0.0027 | train_psnr=29.87 dB | val_loss=0.0015 | val_psnr=31.44 dB | time=1.8s
[Epoch 096] train_loss=0.0027 | train_psnr=29.75 dB | val_loss=0.0015 | val_psnr=31.37 dB | time=1.8s
[Epoch 097] train_loss=0.0027 | train_psnr=29.76 dB | val_loss=0.0015 | val_psnr=31.51 dB | time=1.8s
[Epoch 098] train_loss=0.0027 | train_psnr=29.85 dB | val_loss=0.0015 | val_psnr=31.51 dB | time=1.9s
[Epoch 099] train_loss=0.0026 | train_psnr=29.94 dB | val_loss=0.0015 | val_psnr=31.54 dB | time=1.8s
[Epoch 100] train_loss=0.0026 | train_psnr=29.98 dB | val_loss=0.0015 | val_psnr=31.58 dB | time=1.8s
[Epoch 101] train_loss=0.0026 | train_psnr=29.98 dB | val_loss=0.0015 | val_psnr=31.60 dB | time=1.7s
[Epoch 102] train_loss=0.0026 | train_psnr=30.00 dB | val_loss=0.0014 | val_psnr=31.61 dB | time=1.9s
[Epoch 103] train_loss=0.0026 | train_psnr=30.01 dB | val_loss=0.0014 | val_psnr=31.65 dB | time=1.9s
[Epoch 104] train_loss=0.0026 | train_psnr=30.01 dB | val_loss=0.0014 | val_psnr=31.68 dB | time=1.8s
[Epoch 105] train_loss=0.0026 | train_psnr=29.98 dB | val_loss=0.0015 | val_psnr=31.59 dB | time=1.8s
[Epoch 106] train_loss=0.0025 | train_psnr=30.09 dB | val_loss=0.0014 | val_psnr=31.74 dB | time=1.8s
[Epoch 107] train_loss=0.0026 | train_psnr=30.03 dB | val_loss=0.0015 | val_psnr=31.64 dB | time=1.9s
[Epoch 108] train_loss=0.0026 | train_psnr=30.06 dB | val_loss=0.0014 | val_psnr=31.76 dB | time=1.7s
[Epoch 109] train_loss=0.0025 | train_psnr=30.30 dB | val_loss=0.0014 | val_psnr=31.80 dB | time=1.8s
[Epoch 110] train_loss=0.0025 | train_psnr=30.21 dB | val_loss=0.0014 | val_psnr=31.79 dB | time=1.8s
[Epoch 111] train_loss=0.0026 | train_psnr=30.12 dB | val_loss=0.0014 | val_psnr=31.76 dB | time=1.8s
[Epoch 112] train_loss=0.0026 | train_psnr=30.12 dB | val_loss=0.0014 | val_psnr=31.80 dB | time=1.8s
[Epoch 113] train_loss=0.0025 | train_psnr=30.14 dB | val_loss=0.0014 | val_psnr=31.82 dB | time=1.8s
[Epoch 114] train_loss=0.0024 | train_psnr=30.36 dB | val_loss=0.0013 | val_psnr=31.90 dB | time=1.8s
[Epoch 115] train_loss=0.0024 | train_psnr=30.33 dB | val_loss=0.0013 | val_psnr=31.92 dB | time=1.9s
[Epoch 116] train_loss=0.0025 | train_psnr=30.22 dB | val_loss=0.0013 | val_psnr=31.94 dB | time=1.8s
[Epoch 117] train_loss=0.0025 | train_psnr=30.28 dB | val_loss=0.0013 | val_psnr=31.96 dB | time=1.8s
[Epoch 118] train_loss=0.0024 | train_psnr=30.40 dB | val_loss=0.0013 | val_psnr=31.99 dB | time=1.8s
[Epoch 119] train_loss=0.0024 | train_psnr=30.48 dB | val_loss=0.0013 | val_psnr=32.01 dB | time=1.8s
[Epoch 120] train_loss=0.0024 | train_psnr=30.35 dB | val_loss=0.0013 | val_psnr=32.02 dB | time=1.8s
[Epoch 121] train_loss=0.0024 | train_psnr=30.46 dB | val_loss=0.0013 | val_psnr=32.05 dB | time=1.9s
[Epoch 122] train_loss=0.0024 | train_psnr=30.40 dB | val_loss=0.0013 | val_psnr=32.03 dB | time=1.9s
[Epoch 123] train_loss=0.0023 | train_psnr=30.45 dB | val_loss=0.0013 | val_psnr=32.08 dB | time=1.9s
[Epoch 124] train_loss=0.0023 | train_psnr=30.55 dB | val_loss=0.0013 | val_psnr=31.90 dB | time=1.8s
[Epoch 125] train_loss=0.0023 | train_psnr=30.47 dB | val_loss=0.0013 | val_psnr=32.11 dB | time=1.8s
[Epoch 126] train_loss=0.0023 | train_psnr=30.48 dB | val_loss=0.0013 | val_psnr=32.07 dB | time=1.8s
[Epoch 127] train_loss=0.0023 | train_psnr=30.56 dB | val_loss=0.0013 | val_psnr=32.16 dB | time=1.8s
[Epoch 128] train_loss=0.0023 | train_psnr=30.62 dB | val_loss=0.0013 | val_psnr=32.15 dB | time=1.8s
[Epoch 129] train_loss=0.0023 | train_psnr=30.57 dB | val_loss=0.0013 | val_psnr=32.20 dB | time=1.8s
[Epoch 130] train_loss=0.0024 | train_psnr=30.46 dB | val_loss=0.0014 | val_psnr=31.99 dB | time=1.8s
[Epoch 131] train_loss=0.0024 | train_psnr=30.38 dB | val_loss=0.0014 | val_psnr=31.93 dB | time=1.9s
[Epoch 132] train_loss=0.0023 | train_psnr=30.59 dB | val_loss=0.0012 | val_psnr=32.22 dB | time=1.8s
[Epoch 133] train_loss=0.0023 | train_psnr=30.64 dB | val_loss=0.0013 | val_psnr=32.26 dB | time=1.9s
[Epoch 134] train_loss=0.0022 | train_psnr=30.69 dB | val_loss=0.0012 | val_psnr=32.27 dB | time=1.7s
[Epoch 135] train_loss=0.0023 | train_psnr=30.59 dB | val_loss=0.0012 | val_psnr=32.26 dB | time=1.8s
[Epoch 136] train_loss=0.0022 | train_psnr=30.72 dB | val_loss=0.0012 | val_psnr=32.30 dB | time=1.8s
[Epoch 137] train_loss=0.0022 | train_psnr=30.71 dB | val_loss=0.0012 | val_psnr=32.25 dB | time=1.8s
[Epoch 138] train_loss=0.0023 | train_psnr=30.63 dB | val_loss=0.0012 | val_psnr=32.32 dB | time=1.9s
[Epoch 139] train_loss=0.0023 | train_psnr=30.69 dB | val_loss=0.0012 | val_psnr=32.34 dB | time=1.8s
[Epoch 140] train_loss=0.0023 | train_psnr=30.84 dB | val_loss=0.0012 | val_psnr=32.38 dB | time=1.8s
[Epoch 141] train_loss=0.0022 | train_psnr=30.75 dB | val_loss=0.0012 | val_psnr=32.39 dB | time=1.8s
[Epoch 142] train_loss=0.0022 | train_psnr=30.77 dB | val_loss=0.0012 | val_psnr=32.35 dB | time=1.8s
[Epoch 143] train_loss=0.0022 | train_psnr=30.75 dB | val_loss=0.0012 | val_psnr=32.41 dB | time=1.8s
