Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3551,0.4964,1.3519,0.4875
2,1.3380,0.4942,1.3352,0.4825
3,1.3210,0.4931,1.3190,0.4825
4,1.3045,0.4919,1.3029,0.4800
5,1.2878,0.4933,1.2869,0.4875
6,1.2713,0.5217,1.2707,0.5125
7,1.2543,0.5647,1.2543,0.5300
8,1.2371,0.5994,1.2374,0.5600
9,1.2197,0.6258,1.2201,0.5875
10,1.2015,0.6481,1.2021,0.6025
11,1.1823,0.6625,1.1836,0.6300
12,1.1633,0.6744,1.1644,0.6400
13,1.1430,0.6886,1.1444,0.6525
14,1.1220,0.6958,1.1237,0.6625
15,1.1001,0.7017,1.1022,0.6750
16,1.0777,0.7133,1.0800,0.6850
17,1.0546,0.7286,1.0571,0.6950
18,1.0307,0.7478,1.0338,0.7075
19,1.0068,0.7667,1.0100,0.7400
20,0.9823,0.7883,0.9859,0.7675
21,0.9573,0.8078,0.9614,0.7900
22,0.9325,0.8272,0.9367,0.8125
23,0.9076,0.8422,0.9118,0.8300
24,0.8813,0.8578,0.8868,0.8400
25,0.8566,0.8689,0.8618,0.8625
26,0.8316,0.8814,0.8368,0.8750
27,0.8061,0.8906,0.8120,0.8900
28,0.7812,0.8994,0.7873,0.9025
29,0.7557,0.9100,0.7630,0.9150
30,0.7319,0.9208,0.7389,0.9200
31,0.7081,0.9286,0.7153,0.9225
32,0.6845,0.9344,0.6920,0.9225
33,0.6612,0.9425,0.6692,0.9300
34,0.6386,0.9461,0.6469,0.9375
35,0.6167,0.9500,0.6251,0.9425
36,0.5952,0.9550,0.6039,0.9450
37,0.5748,0.9581,0.5832,0.9450
38,0.5548,0.9608,0.5631,0.9475
39,0.5350,0.9650,0.5436,0.9500
40,0.5160,0.9672,0.5247,0.9525
41,0.4977,0.9675,0.5064,0.9575
42,0.4799,0.9708,0.4887,0.9600
43,0.4633,0.9739,0.4715,0.9650
44,0.4463,0.9742,0.4551,0.9675
45,0.4311,0.9753,0.4393,0.9675
46,0.4163,0.9775,0.4240,0.9700
47,0.4014,0.9789,0.4094,0.9700
48,0.3872,0.9797,0.3954,0.9700
49,0.3741,0.9800,0.3820,0.9700
50,0.3616,0.9806,0.3691,0.9700
51,0.3491,0.9803,0.3569,0.9700
52,0.3378,0.9806,0.3452,0.9725
53,0.3262,0.9814,0.3340,0.9750
54,0.3160,0.9822,0.3233,0.9750
55,0.3057,0.9825,0.3131,0.9750
56,0.2960,0.9833,0.3034,0.9750
57,0.2870,0.9833,0.2941,0.9750
58,0.2777,0.9844,0.2853,0.9775
59,0.2696,0.9833,0.2769,0.9775
60,0.2618,0.9836,0.2689,0.9775
61,0.2541,0.9839,0.2612,0.9775
62,0.2470,0.9839,0.2540,0.9775
63,0.2400,0.9839,0.2471,0.9775
64,0.2337,0.9850,0.2405,0.9775
65,0.2272,0.9850,0.2342,0.9775
66,0.2215,0.9853,0.2282,0.9775
67,0.2157,0.9844,0.2225,0.9775
68,0.2103,0.9850,0.2170,0.9775
69,0.2051,0.9844,0.2118,0.9775
70,0.2000,0.9844,0.2068,0.9775
71,0.1954,0.9844,0.2021,0.9775
72,0.1908,0.9850,0.1975,0.9775
73,0.1866,0.9847,0.1932,0.9775
74,0.1824,0.9850,0.1891,0.9775
75,0.1784,0.9847,0.1851,0.9775
76,0.1746,0.9847,0.1813,0.9775
77,0.1715,0.9850,0.1777,0.9775
78,0.1676,0.9853,0.1742,0.9775
79,0.1645,0.9853,0.1708,0.9775
80,0.1610,0.9856,0.1677,0.9775
81,0.1584,0.9853,0.1646,0.9775
82,0.1549,0.9856,0.1616,0.9775
83,0.1528,0.9853,0.1588,0.9775
84,0.1494,0.9850,0.1561,0.9775
85,0.1466,0.9850,0.1534,0.9775
86,0.1443,0.9853,0.1509,0.9775
87,0.1418,0.9853,0.1485,0.9775
88,0.1399,0.9850,0.1462,0.9775
89,0.1374,0.9853,0.1439,0.9775
90,0.1353,0.9853,0.1417,0.9775
91,0.1333,0.9856,0.1396,0.9775
92,0.1312,0.9853,0.1376,0.9775
93,0.1292,0.9853,0.1356,0.9775
94,0.1271,0.9853,0.1337,0.9775
95,0.1255,0.9853,0.1319,0.9775
96,0.1237,0.9853,0.1301,0.9775
97,0.1222,0.9853,0.1284,0.9775
98,0.1201,0.9853,0.1268,0.9775
99,0.1185,0.9856,0.1252,0.9775
100,0.1173,0.9853,0.1236,0.9775
