Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3622,0.3828,1.3167,0.4925
2,1.2905,0.5206,1.2586,0.7500
3,1.2366,0.6581,1.2119,0.8900
4,1.1941,0.7172,1.1715,0.8975
5,1.1501,0.7711,1.1352,0.8900
6,1.1171,0.7886,1.1020,0.8850
7,1.0846,0.8050,1.0708,0.8875
8,1.0522,0.8161,1.0410,0.8975
9,1.0228,0.8306,1.0127,0.9000
10,0.9960,0.8467,0.9855,0.9050
11,0.9682,0.8556,0.9593,0.9075
12,0.9455,0.8586,0.9340,0.9175
13,0.9197,0.8733,0.9097,0.9175
14,0.8972,0.8814,0.8862,0.9250
15,0.8730,0.8903,0.8635,0.9300
16,0.8533,0.8969,0.8417,0.9325
17,0.8304,0.8981,0.8206,0.9375
18,0.8113,0.9081,0.8003,0.9400
19,0.7953,0.9092,0.7807,0.9400
20,0.7755,0.9106,0.7616,0.9475
21,0.7570,0.9181,0.7433,0.9500
22,0.7370,0.9244,0.7254,0.9575
23,0.7237,0.9247,0.7082,0.9600
24,0.7029,0.9306,0.6915,0.9600
25,0.6921,0.9308,0.6754,0.9625
26,0.6765,0.9322,0.6599,0.9625
27,0.6647,0.9358,0.6448,0.9650
28,0.6458,0.9394,0.6302,0.9675
29,0.6269,0.9397,0.6161,0.9675
30,0.6201,0.9464,0.6025,0.9675
31,0.6089,0.9417,0.5893,0.9675
32,0.5971,0.9486,0.5765,0.9675
33,0.5847,0.9461,0.5642,0.9675
34,0.5775,0.9428,0.5522,0.9675
35,0.5577,0.9464,0.5407,0.9675
36,0.5504,0.9486,0.5295,0.9675
37,0.5417,0.9439,0.5187,0.9675
38,0.5235,0.9508,0.5082,0.9675
39,0.5196,0.9431,0.4980,0.9675
40,0.5123,0.9494,0.4883,0.9675
41,0.5048,0.9536,0.4788,0.9675
42,0.4955,0.9547,0.4696,0.9675
43,0.4869,0.9486,0.4608,0.9675
44,0.4754,0.9525,0.4521,0.9675
45,0.4689,0.9475,0.4438,0.9675
46,0.4592,0.9522,0.4357,0.9675
47,0.4530,0.9497,0.4279,0.9675
48,0.4467,0.9547,0.4203,0.9700
49,0.4453,0.9489,0.4130,0.9725
50,0.4333,0.9522,0.4059,0.9725
51,0.4298,0.9567,0.3989,0.9725
52,0.4239,0.9497,0.3922,0.9725
53,0.4153,0.9619,0.3857,0.9725
54,0.4092,0.9569,0.3793,0.9725
55,0.4037,0.9569,0.3731,0.9725
56,0.3951,0.9592,0.3671,0.9725
57,0.3893,0.9589,0.3612,0.9725
58,0.3857,0.9586,0.3556,0.9725
59,0.3830,0.9517,0.3500,0.9725
60,0.3743,0.9539,0.3447,0.9750
61,0.3744,0.9553,0.3395,0.9750
62,0.3659,0.9567,0.3345,0.9750
63,0.3628,0.9556,0.3296,0.9750
64,0.3589,0.9575,0.3248,0.9750
65,0.3533,0.9564,0.3202,0.9750
66,0.3473,0.9653,0.3157,0.9750
67,0.3378,0.9653,0.3113,0.9750
68,0.3439,0.9583,0.3069,0.9750
69,0.3365,0.9592,0.3027,0.9750
70,0.3267,0.9656,0.2986,0.9750
71,0.3272,0.9603,0.2947,0.9750
72,0.3260,0.9592,0.2909,0.9750
73,0.3204,0.9586,0.2872,0.9750
74,0.3163,0.9606,0.2835,0.9750
75,0.3098,0.9614,0.2800,0.9750
76,0.3071,0.9639,0.2765,0.9750
77,0.3058,0.9592,0.2730,0.9750
78,0.3024,0.9594,0.2697,0.9750
79,0.3037,0.9575,0.2665,0.9750
80,0.2953,0.9606,0.2633,0.9750
81,0.2941,0.9642,0.2603,0.9750
82,0.2870,0.9656,0.2572,0.9750
83,0.2889,0.9653,0.2542,0.9750
84,0.2877,0.9597,0.2512,0.9750
85,0.2839,0.9597,0.2485,0.9750
86,0.2804,0.9636,0.2457,0.9750
87,0.2714,0.9628,0.2430,0.9750
88,0.2738,0.9650,0.2404,0.9750
89,0.2703,0.9608,0.2379,0.9750
90,0.2699,0.9614,0.2353,0.9750
91,0.2621,0.9642,0.2329,0.9750
92,0.2695,0.9586,0.2305,0.9750
93,0.2585,0.9642,0.2282,0.9750
94,0.2600,0.9628,0.2258,0.9750
95,0.2563,0.9631,0.2236,0.9750
96,0.2554,0.9639,0.2214,0.9750
97,0.2537,0.9614,0.2194,0.9750
98,0.2465,0.9683,0.2173,0.9750
99,0.2477,0.9658,0.2152,0.9750
100,0.2396,0.9711,0.2132,0.9750
