Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4592,0.2525,1.4431,0.2275
2,1.3907,0.2525,1.3775,0.2275
3,1.3312,0.2575,1.3211,0.3050
4,1.2801,0.4092,1.2707,0.4925
5,1.2327,0.5836,1.2247,0.6075
6,1.1890,0.6556,1.1819,0.6450
7,1.1489,0.7000,1.1415,0.7050
8,1.1105,0.7622,1.1034,0.7750
9,1.0740,0.8253,1.0671,0.8425
10,1.0393,0.8669,1.0326,0.8750
11,1.0063,0.8942,0.9996,0.9100
12,0.9748,0.9189,0.9680,0.9175
13,0.9444,0.9356,0.9379,0.9250
14,0.9158,0.9450,0.9089,0.9425
15,0.8878,0.9511,0.8813,0.9525
16,0.8616,0.9550,0.8548,0.9550
17,0.8354,0.9606,0.8295,0.9625
18,0.8113,0.9653,0.8051,0.9675
19,0.7876,0.9683,0.7818,0.9675
20,0.7652,0.9711,0.7595,0.9700
21,0.7444,0.9739,0.7381,0.9700
22,0.7235,0.9753,0.7175,0.9725
23,0.7036,0.9772,0.6978,0.9725
24,0.6843,0.9778,0.6789,0.9725
25,0.6658,0.9792,0.6608,0.9725
26,0.6483,0.9792,0.6434,0.9725
27,0.6315,0.9794,0.6267,0.9725
28,0.6153,0.9794,0.6107,0.9725
29,0.5998,0.9800,0.5953,0.9725
30,0.5844,0.9808,0.5805,0.9725
31,0.5702,0.9808,0.5663,0.9725
32,0.5564,0.9806,0.5526,0.9725
33,0.5432,0.9814,0.5395,0.9725
34,0.5304,0.9825,0.5269,0.9725
35,0.5184,0.9814,0.5147,0.9725
36,0.5061,0.9817,0.5031,0.9725
37,0.4946,0.9814,0.4918,0.9725
38,0.4837,0.9817,0.4810,0.9725
39,0.4733,0.9825,0.4706,0.9750
40,0.4634,0.9825,0.4606,0.9750
41,0.4532,0.9828,0.4509,0.9750
42,0.4441,0.9831,0.4416,0.9750
43,0.4347,0.9831,0.4325,0.9750
44,0.4260,0.9825,0.4239,0.9750
45,0.4171,0.9833,0.4155,0.9750
46,0.4088,0.9833,0.4074,0.9750
47,0.4010,0.9833,0.3996,0.9750
48,0.3932,0.9836,0.3920,0.9750
49,0.3864,0.9839,0.3848,0.9750
50,0.3788,0.9839,0.3777,0.9775
51,0.3723,0.9839,0.3709,0.9775
52,0.3652,0.9839,0.3643,0.9775
53,0.3591,0.9839,0.3580,0.9775
54,0.3528,0.9839,0.3518,0.9775
55,0.3466,0.9842,0.3459,0.9775
56,0.3405,0.9842,0.3401,0.9775
57,0.3346,0.9842,0.3345,0.9775
58,0.3296,0.9842,0.3291,0.9775
59,0.3239,0.9842,0.3238,0.9775
60,0.3186,0.9842,0.3187,0.9775
61,0.3140,0.9842,0.3138,0.9775
62,0.3088,0.9842,0.3090,0.9775
63,0.3046,0.9842,0.3044,0.9775
64,0.3000,0.9839,0.2999,0.9800
65,0.2951,0.9844,0.2955,0.9800
66,0.2909,0.9844,0.2912,0.9800
67,0.2864,0.9847,0.2871,0.9800
68,0.2825,0.9847,0.2830,0.9800
69,0.2786,0.9847,0.2791,0.9800
70,0.2746,0.9847,0.2753,0.9800
71,0.2709,0.9847,0.2716,0.9800
72,0.2670,0.9847,0.2680,0.9800
73,0.2636,0.9847,0.2645,0.9800
74,0.2603,0.9847,0.2611,0.9800
75,0.2567,0.9847,0.2578,0.9800
76,0.2533,0.9847,0.2546,0.9800
77,0.2502,0.9847,0.2515,0.9775
78,0.2470,0.9847,0.2484,0.9775
79,0.2445,0.9847,0.2454,0.9775
80,0.2409,0.9850,0.2425,0.9775
81,0.2381,0.9850,0.2397,0.9775
82,0.2352,0.9847,0.2369,0.9800
83,0.2325,0.9847,0.2342,0.9800
84,0.2301,0.9847,0.2316,0.9800
85,0.2272,0.9847,0.2290,0.9800
86,0.2247,0.9847,0.2265,0.9800
87,0.2227,0.9847,0.2240,0.9800
88,0.2196,0.9847,0.2216,0.9800
89,0.2177,0.9847,0.2193,0.9800
90,0.2149,0.9847,0.2170,0.9800
91,0.2125,0.9853,0.2148,0.9800
92,0.2108,0.9850,0.2126,0.9800
93,0.2085,0.9853,0.2105,0.9800
94,0.2061,0.9853,0.2084,0.9800
95,0.2041,0.9853,0.2064,0.9800
96,0.2022,0.9847,0.2044,0.9800
97,0.2003,0.9853,0.2024,0.9800
98,0.1982,0.9853,0.2005,0.9800
99,0.1963,0.9853,0.1986,0.9800
100,0.1944,0.9850,0.1968,0.9800
