Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3896,0.2506,1.3899,0.2450
2,1.3879,0.2506,1.3883,0.2450
3,1.3862,0.2506,1.3868,0.2450
4,1.3846,0.2506,1.3854,0.2450
5,1.3831,0.2506,1.3840,0.2450
6,1.3818,0.2506,1.3827,0.2450
7,1.3805,0.2506,1.3813,0.2450
8,1.3792,0.2506,1.3800,0.2450
9,1.3778,0.2506,1.3787,0.2450
10,1.3764,0.2506,1.3774,0.2450
11,1.3751,0.2506,1.3762,0.2450
12,1.3739,0.2506,1.3750,0.2450
13,1.3727,0.2506,1.3738,0.2450
14,1.3715,0.2506,1.3726,0.2450
15,1.3703,0.2506,1.3714,0.2450
16,1.3692,0.2569,1.3702,0.2625
17,1.3679,0.3042,1.3690,0.3250
18,1.3667,0.3886,1.3677,0.4375
19,1.3653,0.5136,1.3664,0.5125
20,1.3640,0.5942,1.3650,0.6000
21,1.3626,0.6886,1.3636,0.6500
22,1.3610,0.7067,1.3620,0.6850
23,1.3594,0.7239,1.3604,0.6925
24,1.3577,0.7300,1.3587,0.6975
25,1.3560,0.7269,1.3569,0.6975
26,1.3542,0.7297,1.3551,0.6950
27,1.3522,0.7286,1.3531,0.6825
28,1.3502,0.7228,1.3511,0.6800
29,1.3481,0.7147,1.3489,0.6750
30,1.3459,0.7131,1.3467,0.6700
31,1.3434,0.7008,1.3442,0.6675
32,1.3409,0.6867,1.3415,0.6550
33,1.3379,0.6939,1.3386,0.6600
34,1.3348,0.7028,1.3354,0.6700
35,1.3315,0.6969,1.3319,0.6700
36,1.3278,0.6992,1.3282,0.6525
37,1.3240,0.6889,1.3242,0.6575
38,1.3198,0.6803,1.3200,0.6475
39,1.3153,0.6819,1.3154,0.6475
40,1.3105,0.6717,1.3107,0.6400
41,1.3054,0.6583,1.3056,0.6325
42,1.3004,0.6503,1.3003,0.6325
43,1.2949,0.6508,1.2946,0.6350
44,1.2889,0.6439,1.2886,0.6325
45,1.2827,0.6486,1.2823,0.6275
46,1.2760,0.6414,1.2755,0.6300
47,1.2691,0.6331,1.2682,0.6325
48,1.2615,0.6356,1.2605,0.6400
49,1.2533,0.6383,1.2523,0.6400
50,1.2451,0.6439,1.2436,0.6450
51,1.2359,0.6497,1.2343,0.6500
52,1.2263,0.6503,1.2244,0.6575
53,1.2164,0.6558,1.2138,0.6750
54,1.2055,0.6625,1.2025,0.6875
55,1.1936,0.6758,1.1904,0.7000
56,1.1816,0.6872,1.1776,0.7150
57,1.1681,0.6986,1.1639,0.7250
58,1.1540,0.7156,1.1493,0.7300
59,1.1391,0.7186,1.1337,0.7450
60,1.1237,0.7308,1.1173,0.7575
61,1.1064,0.7531,1.0998,0.7675
62,1.0891,0.7753,1.0813,0.7725
63,1.0700,0.7933,1.0618,0.7950
64,1.0502,0.8044,1.0411,0.8050
65,1.0289,0.8233,1.0192,0.8100
66,1.0074,0.8358,0.9960,0.8225
67,0.9833,0.8508,0.9715,0.8475
68,0.9586,0.8719,0.9458,0.8675
69,0.9323,0.8842,0.9185,0.8925
70,0.9043,0.9028,0.8900,0.9025
71,0.8755,0.9147,0.8602,0.9075
72,0.8449,0.9250,0.8291,0.9250
73,0.8136,0.9344,0.7968,0.9425
74,0.7805,0.9447,0.7637,0.9475
75,0.7468,0.9542,0.7295,0.9550
76,0.7122,0.9594,0.6945,0.9600
77,0.6768,0.9661,0.6591,0.9625
78,0.6410,0.9700,0.6232,0.9675
79,0.6049,0.9722,0.5873,0.9700
80,0.5688,0.9753,0.5519,0.9700
81,0.5332,0.9775,0.5170,0.9700
82,0.4991,0.9800,0.4833,0.9725
83,0.4657,0.9814,0.4510,0.9775
84,0.4340,0.9808,0.4202,0.9800
85,0.4037,0.9817,0.3912,0.9800
86,0.3758,0.9828,0.3641,0.9800
87,0.3500,0.9842,0.3392,0.9825
88,0.3260,0.9842,0.3160,0.9825
89,0.3037,0.9836,0.2945,0.9825
90,0.2838,0.9850,0.2754,0.9825
91,0.2655,0.9844,0.2577,0.9825
92,0.2489,0.9844,0.2416,0.9825
93,0.2332,0.9850,0.2272,0.9825
94,0.2198,0.9850,0.2139,0.9825
95,0.2071,0.9856,0.2020,0.9825
96,0.1960,0.9856,0.1908,0.9825
97,0.1857,0.9856,0.1809,0.9825
98,0.1763,0.9853,0.1718,0.9850
99,0.1683,0.9856,0.1636,0.9850
100,0.1598,0.9856,0.1561,0.9875
