Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.3164,0.3917,1.3022,0.4500
2,1.2763,0.4658,1.2642,0.4550
3,1.2382,0.4906,1.2286,0.5125
4,1.2029,0.6128,1.1946,0.6200
5,1.1689,0.7206,1.1622,0.7275
6,1.1369,0.7869,1.1309,0.7850
7,1.1058,0.8289,1.1008,0.8225
8,1.0760,0.8556,1.0717,0.8525
9,1.0474,0.8775,1.0434,0.8775
10,1.0193,0.8969,1.0160,0.8925
11,0.9923,0.9108,0.9894,0.9075
12,0.9658,0.9200,0.9635,0.9150
13,0.9406,0.9275,0.9384,0.9250
14,0.9157,0.9356,0.9140,0.9325
15,0.8920,0.9414,0.8903,0.9425
16,0.8686,0.9458,0.8673,0.9500
17,0.8462,0.9525,0.8449,0.9525
18,0.8239,0.9567,0.8232,0.9550
19,0.8026,0.9594,0.8022,0.9625
20,0.7820,0.9628,0.7818,0.9625
21,0.7620,0.9661,0.7620,0.9675
22,0.7424,0.9686,0.7427,0.9700
23,0.7237,0.9708,0.7241,0.9700
24,0.7057,0.9714,0.7061,0.9700
25,0.6879,0.9731,0.6886,0.9700
26,0.6705,0.9733,0.6717,0.9700
27,0.6545,0.9742,0.6553,0.9700
28,0.6389,0.9750,0.6394,0.9700
29,0.6229,0.9753,0.6240,0.9700
30,0.6082,0.9764,0.6092,0.9725
31,0.5935,0.9769,0.5948,0.9700
32,0.5792,0.9778,0.5809,0.9700
33,0.5659,0.9783,0.5675,0.9700
34,0.5528,0.9783,0.5546,0.9700
35,0.5399,0.9800,0.5420,0.9700
36,0.5283,0.9800,0.5299,0.9700
37,0.5160,0.9806,0.5181,0.9700
38,0.5042,0.9808,0.5068,0.9725
39,0.4940,0.9814,0.4958,0.9725
40,0.4831,0.9814,0.4852,0.9750
41,0.4729,0.9814,0.4750,0.9750
42,0.4624,0.9819,0.4651,0.9750
43,0.4528,0.9825,0.4555,0.9750
44,0.4436,0.9825,0.4463,0.9775
45,0.4343,0.9825,0.4373,0.9750
46,0.4260,0.9825,0.4286,0.9750
47,0.4174,0.9828,0.4203,0.9750
48,0.4098,0.9828,0.4122,0.9750
49,0.4016,0.9828,0.4043,0.9750
50,0.3940,0.9831,0.3968,0.9750
51,0.3865,0.9831,0.3894,0.9750
52,0.3794,0.9831,0.3823,0.9750
53,0.3723,0.9831,0.3754,0.9750
54,0.3657,0.9831,0.3688,0.9750
55,0.3592,0.9831,0.3624,0.9750
56,0.3530,0.9831,0.3561,0.9750
57,0.3468,0.9831,0.3500,0.9750
58,0.3406,0.9833,0.3442,0.9750
59,0.3351,0.9833,0.3385,0.9750
60,0.3296,0.9836,0.3330,0.9750
61,0.3240,0.9836,0.3276,0.9750
62,0.3192,0.9836,0.3224,0.9750
63,0.3140,0.9839,0.3174,0.9750
64,0.3091,0.9839,0.3125,0.9750
65,0.3042,0.9842,0.3078,0.9750
66,0.2996,0.9842,0.3031,0.9750
67,0.2954,0.9842,0.2987,0.9750
68,0.2906,0.9842,0.2943,0.9775
69,0.2864,0.9842,0.2901,0.9775
70,0.2822,0.9842,0.2860,0.9775
71,0.2781,0.9842,0.2820,0.9775
72,0.2745,0.9842,0.2781,0.9775
73,0.2706,0.9842,0.2743,0.9775
74,0.2670,0.9844,0.2707,0.9775
75,0.2632,0.9844,0.2671,0.9775
76,0.2599,0.9844,0.2636,0.9775
77,0.2565,0.9844,0.2602,0.9775
78,0.2534,0.9847,0.2569,0.9775
79,0.2500,0.9847,0.2537,0.9775
80,0.2465,0.9847,0.2505,0.9775
81,0.2435,0.9847,0.2475,0.9775
82,0.2409,0.9847,0.2445,0.9775
83,0.2374,0.9847,0.2416,0.9775
84,0.2353,0.9850,0.2388,0.9775
85,0.2321,0.9850,0.2360,0.9775
86,0.2293,0.9850,0.2333,0.9775
87,0.2266,0.9847,0.2307,0.9775
88,0.2239,0.9853,0.2282,0.9775
89,0.2217,0.9850,0.2256,0.9775
90,0.2188,0.9853,0.2232,0.9775
91,0.2167,0.9853,0.2208,0.9775
92,0.2143,0.9853,0.2185,0.9775
93,0.2125,0.9853,0.2162,0.9775
94,0.2097,0.9853,0.2140,0.9775
95,0.2075,0.9853,0.2118,0.9775
96,0.2055,0.9856,0.2097,0.9775
97,0.2034,0.9861,0.2076,0.9775
98,0.2014,0.9858,0.2056,0.9775
99,0.1992,0.9858,0.2036,0.9775
100,0.1973,0.9858,0.2016,0.9775
