====================
Model: ESPCN
Scale: x4
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 001] train_loss=0.4238 | train_psnr=10.12 dB | val_loss=0.1755 | val_psnr=11.26 dB | time=2.4s
[Epoch 002] train_loss=0.1727 | train_psnr=12.24 dB | val_loss=0.0964 | val_psnr=13.05 dB | time=1.7s
[Epoch 003] train_loss=0.1182 | train_psnr=13.43 dB | val_loss=0.0747 | val_psnr=13.74 dB | time=1.7s
[Epoch 004] train_loss=0.0977 | train_psnr=14.09 dB | val_loss=0.0649 | val_psnr=14.15 dB | time=1.7s
[Epoch 005] train_loss=0.0853 | train_psnr=14.55 dB | val_loss=0.0583 | val_psnr=14.56 dB | time=1.7s
[Epoch 006] train_loss=0.0776 | train_psnr=14.92 dB | val_loss=0.0532 | val_psnr=14.93 dB | time=1.7s
[Epoch 007] train_loss=0.0704 | train_psnr=15.26 dB | val_loss=0.0490 | val_psnr=15.29 dB | time=1.7s
[Epoch 008] train_loss=0.0658 | train_psnr=15.59 dB | val_loss=0.0456 | val_psnr=15.59 dB | time=1.7s
[Epoch 009] train_loss=0.0605 | train_psnr=15.95 dB | val_loss=0.0429 | val_psnr=15.79 dB | time=1.7s
[Epoch 010] train_loss=0.0564 | train_psnr=16.19 dB | val_loss=0.0399 | val_psnr=16.12 dB | time=1.7s
[Epoch 011] train_loss=0.0538 | train_psnr=16.35 dB | val_loss=0.0376 | val_psnr=16.36 dB | time=1.6s
[Epoch 012] train_loss=0.0506 | train_psnr=16.59 dB | val_loss=0.0355 | val_psnr=16.64 dB | time=1.7s
[Epoch 013] train_loss=0.0472 | train_psnr=16.90 dB | val_loss=0.0336 | val_psnr=16.88 dB | time=1.7s
[Epoch 014] train_loss=0.0448 | train_psnr=17.11 dB | val_loss=0.0320 | val_psnr=17.06 dB | time=1.7s
[Epoch 015] train_loss=0.0422 | train_psnr=17.36 dB | val_loss=0.0304 | val_psnr=17.31 dB | time=1.7s
