====================
Model: IMDN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 001] train_loss=0.1081 | train_psnr=13.84 dB | val_loss=0.0192 | val_psnr=19.72 dB | time=3.3s
[Epoch 002] train_loss=0.0264 | train_psnr=20.50 dB | val_loss=0.0127 | val_psnr=21.42 dB | time=2.5s
[Epoch 003] train_loss=0.0179 | train_psnr=22.16 dB | val_loss=0.0089 | val_psnr=23.69 dB | time=2.9s
[Epoch 004] train_loss=0.0137 | train_psnr=23.49 dB | val_loss=0.0061 | val_psnr=25.28 dB | time=2.5s
[Epoch 005] train_loss=0.0104 | train_psnr=25.04 dB | val_loss=0.0048 | val_psnr=26.39 dB | time=2.4s
[Epoch 006] train_loss=0.0080 | train_psnr=26.27 dB | val_loss=0.0038 | val_psnr=27.14 dB | time=2.5s
[Epoch 007] train_loss=0.0064 | train_psnr=26.39 dB | val_loss=0.0032 | val_psnr=27.79 dB | time=2.5s
[Epoch 008] train_loss=0.0053 | train_psnr=26.56 dB | val_loss=0.0029 | val_psnr=27.98 dB | time=2.4s
[Epoch 009] train_loss=0.0045 | train_psnr=27.21 dB | val_loss=0.0025 | val_psnr=28.70 dB | time=2.3s
[Epoch 010] train_loss=0.0040 | train_psnr=27.65 dB | val_loss=0.0023 | val_psnr=29.06 dB | time=2.3s
[Epoch 011] train_loss=0.0037 | train_psnr=28.09 dB | val_loss=0.0021 | val_psnr=29.54 dB | time=2.5s
[Epoch 012] train_loss=0.0034 | train_psnr=28.74 dB | val_loss=0.0020 | val_psnr=29.87 dB | time=2.5s
[Epoch 013] train_loss=0.0031 | train_psnr=29.06 dB | val_loss=0.0018 | val_psnr=30.29 dB | time=2.5s
[Epoch 014] train_loss=0.0029 | train_psnr=29.44 dB | val_loss=0.0017 | val_psnr=30.62 dB | time=2.5s
[Epoch 015] train_loss=0.0027 | train_psnr=29.88 dB | val_loss=0.0016 | val_psnr=30.85 dB | time=2.5s
[Epoch 016] train_loss=0.0025 | train_psnr=30.16 dB | val_loss=0.0015 | val_psnr=31.11 dB | time=2.4s
[Epoch 017] train_loss=0.0025 | train_psnr=29.90 dB | val_loss=0.0015 | val_psnr=31.11 dB | time=2.4s
[Epoch 018] train_loss=0.0024 | train_psnr=30.38 dB | val_loss=0.0014 | val_psnr=31.29 dB | time=2.5s
[Epoch 019] train_loss=0.0022 | train_psnr=30.60 dB | val_loss=0.0013 | val_psnr=31.64 dB | time=2.5s
[Epoch 020] train_loss=0.0022 | train_psnr=30.63 dB | val_loss=0.0013 | val_psnr=31.86 dB | time=2.4s
[Epoch 021] train_loss=0.0021 | train_psnr=30.95 dB | val_loss=0.0012 | val_psnr=32.10 dB | time=2.4s
[Epoch 022] train_loss=0.0020 | train_psnr=31.14 dB | val_loss=0.0012 | val_psnr=32.07 dB | time=2.4s
[Epoch 023] train_loss=0.0020 | train_psnr=31.02 dB | val_loss=0.0011 | val_psnr=32.20 dB | time=2.3s
