====================
Model: SRCNN
Scale: x3
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 050] train_loss=0.0054 | train_psnr=26.58 dB | val_loss=0.0032 | val_psnr=27.46 dB | time=1.9s
[Epoch 051] train_loss=0.0053 | train_psnr=26.74 dB | val_loss=0.0031 | val_psnr=27.65 dB | time=2.1s
[Epoch 052] train_loss=0.0052 | train_psnr=26.74 dB | val_loss=0.0031 | val_psnr=27.63 dB | time=2.4s
[Epoch 053] train_loss=0.0051 | train_psnr=26.83 dB | val_loss=0.0031 | val_psnr=27.70 dB | time=2.0s
[Epoch 054] train_loss=0.0050 | train_psnr=26.92 dB | val_loss=0.0030 | val_psnr=27.71 dB | time=2.5s
[Epoch 055] train_loss=0.0049 | train_psnr=27.02 dB | val_loss=0.0030 | val_psnr=27.78 dB | time=2.4s
[Epoch 056] train_loss=0.0049 | train_psnr=26.98 dB | val_loss=0.0030 | val_psnr=27.78 dB | time=2.4s
[Epoch 057] train_loss=0.0047 | train_psnr=27.10 dB | val_loss=0.0029 | val_psnr=27.92 dB | time=2.4s
[Epoch 058] train_loss=0.0048 | train_psnr=27.15 dB | val_loss=0.0029 | val_psnr=27.98 dB | time=2.6s
[Epoch 059] train_loss=0.0047 | train_psnr=27.22 dB | val_loss=0.0029 | val_psnr=27.99 dB | time=2.3s
[Epoch 060] train_loss=0.0046 | train_psnr=27.22 dB | val_loss=0.0028 | val_psnr=27.99 dB | time=2.4s
[Epoch 061] train_loss=0.0045 | train_psnr=27.29 dB | val_loss=0.0028 | val_psnr=28.06 dB | time=2.4s
[Epoch 062] train_loss=0.0044 | train_psnr=27.47 dB | val_loss=0.0028 | val_psnr=28.09 dB | time=2.6s
[Epoch 063] train_loss=0.0044 | train_psnr=27.51 dB | val_loss=0.0027 | val_psnr=28.14 dB | time=2.2s
[Epoch 064] train_loss=0.0044 | train_psnr=27.42 dB | val_loss=0.0027 | val_psnr=28.20 dB | time=2.2s
[Epoch 065] train_loss=0.0043 | train_psnr=27.58 dB | val_loss=0.0027 | val_psnr=28.23 dB | time=2.3s
[Epoch 066] train_loss=0.0042 | train_psnr=27.60 dB | val_loss=0.0027 | val_psnr=28.24 dB | time=2.6s
[Epoch 067] train_loss=0.0041 | train_psnr=27.63 dB | val_loss=0.0026 | val_psnr=28.29 dB | time=2.3s
[Epoch 068] train_loss=0.0040 | train_psnr=27.87 dB | val_loss=0.0026 | val_psnr=28.34 dB | time=2.2s
[Epoch 069] train_loss=0.0041 | train_psnr=27.75 dB | val_loss=0.0026 | val_psnr=28.36 dB | time=2.3s
[Epoch 070] train_loss=0.0041 | train_psnr=27.61 dB | val_loss=0.0025 | val_psnr=28.35 dB | time=2.2s
[Epoch 071] train_loss=0.0040 | train_psnr=27.78 dB | val_loss=0.0025 | val_psnr=28.44 dB | time=2.4s
[Epoch 072] train_loss=0.0038 | train_psnr=27.93 dB | val_loss=0.0025 | val_psnr=28.48 dB | time=2.5s
[Epoch 073] train_loss=0.0039 | train_psnr=27.94 dB | val_loss=0.0025 | val_psnr=28.49 dB | time=2.4s
[Epoch 074] train_loss=0.0039 | train_psnr=27.83 dB | val_loss=0.0025 | val_psnr=28.44 dB | time=2.7s
[Epoch 075] train_loss=0.0038 | train_psnr=27.88 dB | val_loss=0.0024 | val_psnr=28.47 dB | time=2.8s
[Epoch 076] train_loss=0.0038 | train_psnr=27.87 dB | val_loss=0.0024 | val_psnr=28.51 dB | time=2.5s
[Epoch 077] train_loss=0.0037 | train_psnr=27.99 dB | val_loss=0.0024 | val_psnr=28.60 dB | time=2.6s
[Epoch 078] train_loss=0.0038 | train_psnr=27.85 dB | val_loss=0.0024 | val_psnr=28.63 dB | time=2.4s
[Epoch 079] train_loss=0.0037 | train_psnr=27.89 dB | val_loss=0.0024 | val_psnr=28.66 dB | time=1.9s
[Epoch 080] train_loss=0.0037 | train_psnr=28.02 dB | val_loss=0.0024 | val_psnr=28.68 dB | time=1.8s
[Epoch 081] train_loss=0.0036 | train_psnr=28.05 dB | val_loss=0.0023 | val_psnr=28.71 dB | time=1.8s
[Epoch 082] train_loss=0.0036 | train_psnr=28.00 dB | val_loss=0.0023 | val_psnr=28.73 dB | time=1.8s
[Epoch 083] train_loss=0.0035 | train_psnr=28.20 dB | val_loss=0.0023 | val_psnr=28.75 dB | time=1.8s
[Epoch 084] train_loss=0.0035 | train_psnr=28.18 dB | val_loss=0.0023 | val_psnr=28.78 dB | time=1.8s
[Epoch 085] train_loss=0.0035 | train_psnr=28.10 dB | val_loss=0.0023 | val_psnr=28.80 dB | time=1.8s
[Epoch 086] train_loss=0.0035 | train_psnr=28.06 dB | val_loss=0.0023 | val_psnr=28.82 dB | time=1.8s
[Epoch 087] train_loss=0.0034 | train_psnr=28.27 dB | val_loss=0.0023 | val_psnr=28.84 dB | time=1.8s
[Epoch 088] train_loss=0.0034 | train_psnr=28.26 dB | val_loss=0.0022 | val_psnr=28.86 dB | time=1.7s
[Epoch 089] train_loss=0.0034 | train_psnr=28.08 dB | val_loss=0.0022 | val_psnr=28.87 dB | time=1.9s
[Epoch 090] train_loss=0.0034 | train_psnr=28.28 dB | val_loss=0.0022 | val_psnr=28.88 dB | time=1.8s
[Epoch 091] train_loss=0.0034 | train_psnr=28.25 dB | val_loss=0.0022 | val_psnr=28.93 dB | time=1.8s
[Epoch 092] train_loss=0.0033 | train_psnr=28.27 dB | val_loss=0.0022 | val_psnr=28.94 dB | time=1.9s
[Epoch 093] train_loss=0.0034 | train_psnr=28.06 dB | val_loss=0.0022 | val_psnr=28.94 dB | time=1.8s
[Epoch 094] train_loss=0.0032 | train_psnr=28.26 dB | val_loss=0.0022 | val_psnr=28.97 dB | time=1.8s
[Epoch 095] train_loss=0.0034 | train_psnr=28.12 dB | val_loss=0.0022 | val_psnr=28.98 dB | time=1.8s
[Epoch 096] train_loss=0.0033 | train_psnr=28.17 dB | val_loss=0.0022 | val_psnr=29.01 dB | time=1.8s
[Epoch 097] train_loss=0.0033 | train_psnr=28.37 dB | val_loss=0.0021 | val_psnr=29.03 dB | time=1.8s
[Epoch 098] train_loss=0.0033 | train_psnr=28.30 dB | val_loss=0.0021 | val_psnr=29.02 dB | time=1.8s
[Epoch 099] train_loss=0.0032 | train_psnr=28.33 dB | val_loss=0.0021 | val_psnr=29.06 dB | time=1.8s
[Epoch 100] train_loss=0.0032 | train_psnr=28.39 dB | val_loss=0.0021 | val_psnr=29.07 dB | time=1.8s
[Epoch 101] train_loss=0.0031 | train_psnr=28.43 dB | val_loss=0.0021 | val_psnr=29.09 dB | time=1.8s
[Epoch 102] train_loss=0.0032 | train_psnr=28.36 dB | val_loss=0.0021 | val_psnr=29.10 dB | time=1.8s
[Epoch 103] train_loss=0.0032 | train_psnr=28.28 dB | val_loss=0.0021 | val_psnr=29.12 dB | time=1.8s
[Epoch 104] train_loss=0.0031 | train_psnr=28.52 dB | val_loss=0.0021 | val_psnr=29.12 dB | time=1.9s
[Epoch 105] train_loss=0.0031 | train_psnr=28.41 dB | val_loss=0.0021 | val_psnr=29.14 dB | time=1.8s
[Epoch 106] train_loss=0.0031 | train_psnr=28.53 dB | val_loss=0.0021 | val_psnr=29.16 dB | time=1.8s
[Epoch 107] train_loss=0.0031 | train_psnr=28.44 dB | val_loss=0.0021 | val_psnr=29.18 dB | time=1.8s
[Epoch 108] train_loss=0.0031 | train_psnr=28.34 dB | val_loss=0.0021 | val_psnr=29.17 dB | time=1.9s
[Epoch 109] train_loss=0.0031 | train_psnr=28.41 dB | val_loss=0.0021 | val_psnr=29.20 dB | time=1.8s
[Epoch 110] train_loss=0.0030 | train_psnr=28.67 dB | val_loss=0.0020 | val_psnr=29.20 dB | time=1.8s
[Epoch 111] train_loss=0.0031 | train_psnr=28.44 dB | val_loss=0.0020 | val_psnr=29.23 dB | time=1.8s
[Epoch 112] train_loss=0.0031 | train_psnr=28.50 dB | val_loss=0.0020 | val_psnr=29.22 dB | time=1.8s
[Epoch 113] train_loss=0.0030 | train_psnr=28.59 dB | val_loss=0.0020 | val_psnr=29.25 dB | time=1.8s
[Epoch 114] train_loss=0.0030 | train_psnr=28.58 dB | val_loss=0.0020 | val_psnr=29.25 dB | time=1.8s
[Epoch 115] train_loss=0.0029 | train_psnr=28.67 dB | val_loss=0.0020 | val_psnr=29.27 dB | time=1.8s
[Epoch 116] train_loss=0.0030 | train_psnr=28.62 dB | val_loss=0.0020 | val_psnr=29.27 dB | time=1.8s
[Epoch 117] train_loss=0.0030 | train_psnr=28.53 dB | val_loss=0.0020 | val_psnr=29.29 dB | time=1.8s
[Epoch 118] train_loss=0.0030 | train_psnr=28.54 dB | val_loss=0.0020 | val_psnr=29.31 dB | time=1.8s
