====================
Model: FSRCNN
Scale: x4
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 001] train_loss=0.2762 | train_psnr=6.37 dB | val_loss=0.1830 | val_psnr=7.70 dB | time=3.6s
[Epoch 002] train_loss=0.1347 | train_psnr=11.62 dB | val_loss=0.0552 | val_psnr=15.62 dB | time=2.7s
[Epoch 003] train_loss=0.0630 | train_psnr=16.80 dB | val_loss=0.0300 | val_psnr=17.52 dB | time=2.3s
[Epoch 004] train_loss=0.0569 | train_psnr=17.47 dB | val_loss=0.0273 | val_psnr=18.28 dB | time=1.7s
[Epoch 005] train_loss=0.0525 | train_psnr=18.02 dB | val_loss=0.0257 | val_psnr=18.59 dB | time=2.0s
[Epoch 006] train_loss=0.0491 | train_psnr=18.43 dB | val_loss=0.0240 | val_psnr=19.09 dB | time=2.7s
[Epoch 007] train_loss=0.0463 | train_psnr=18.77 dB | val_loss=0.0222 | val_psnr=19.66 dB | time=2.7s
[Epoch 008] train_loss=0.0422 | train_psnr=19.26 dB | val_loss=0.0208 | val_psnr=19.97 dB | time=2.7s
[Epoch 009] train_loss=0.0382 | train_psnr=19.52 dB | val_loss=0.0192 | val_psnr=20.34 dB | time=2.7s
[Epoch 010] train_loss=0.0344 | train_psnr=19.52 dB | val_loss=0.0176 | val_psnr=20.56 dB | time=2.7s
[Epoch 011] train_loss=0.0299 | train_psnr=19.63 dB | val_loss=0.0167 | val_psnr=20.82 dB | time=2.6s
[Epoch 012] train_loss=0.0277 | train_psnr=19.82 dB | val_loss=0.0161 | val_psnr=21.04 dB | time=2.7s
[Epoch 013] train_loss=0.0256 | train_psnr=20.02 dB | val_loss=0.0155 | val_psnr=21.12 dB | time=2.7s
[Epoch 014] train_loss=0.0242 | train_psnr=20.30 dB | val_loss=0.0150 | val_psnr=21.21 dB | time=2.7s
[Epoch 015] train_loss=0.0234 | train_psnr=20.31 dB | val_loss=0.0144 | val_psnr=21.43 dB | time=2.6s
[Epoch 016] train_loss=0.0225 | train_psnr=20.38 dB | val_loss=0.0140 | val_psnr=21.56 dB | time=2.7s
[Epoch 017] train_loss=0.0216 | train_psnr=20.44 dB | val_loss=0.0135 | val_psnr=21.63 dB | time=2.6s
[Epoch 018] train_loss=0.0209 | train_psnr=20.61 dB | val_loss=0.0131 | val_psnr=21.76 dB | time=2.4s
