Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4945,0.4734,1.1948,0.5817
2,1.1844,0.5824,1.0431,0.6333
3,1.0854,0.6167,0.9190,0.6760
4,1.0194,0.6417,0.8906,0.6917
5,0.9784,0.6563,0.8658,0.7004
6,0.9440,0.6678,0.8147,0.7169
7,0.9136,0.6781,0.8488,0.7052
8,0.8928,0.6878,0.7846,0.7285
9,0.8661,0.6952,0.7931,0.7222
10,0.8521,0.7018,0.7652,0.7330
11,0.8342,0.7079,0.8034,0.7184
12,0.8155,0.7149,0.7531,0.7373
13,0.8072,0.7165,0.7490,0.7404
14,0.7926,0.7238,0.8406,0.7052
15,0.7823,0.7237,0.7631,0.7331
16,0.7679,0.7316,0.7267,0.7464
17,0.7629,0.7296,0.7341,0.7453
18,0.7509,0.7338,0.7252,0.7473
19,0.7442,0.7367,0.7180,0.7509
20,0.7388,0.7408,0.7617,0.7352
21,0.7311,0.7400,0.7522,0.7406
22,0.7255,0.7454,0.6985,0.7567
23,0.7144,0.7502,0.6895,0.7610
24,0.7087,0.7498,0.7080,0.7537
25,0.7056,0.7481,0.7204,0.7507
26,0.7028,0.7500,0.7483,0.7368
27,0.7020,0.7541,0.7203,0.7506
28,0.6926,0.7556,0.6839,0.7627
29,0.6834,0.7591,0.6801,0.7637
30,0.6802,0.7607,0.7139,0.7520
31,0.6783,0.7568,0.7624,0.7371
32,0.6754,0.7606,0.7062,0.7534
33,0.6627,0.7673,0.7096,0.7522
34,0.6638,0.7644,0.7407,0.7424
35,0.6636,0.7651,0.7474,0.7374
36,0.6612,0.7669,0.6810,0.7629
37,0.6537,0.7681,0.6842,0.7616
38,0.6532,0.7684,0.6864,0.7627
39,0.6477,0.7710,0.6860,0.7626
40,0.6443,0.7741,0.6743,0.7674
41,0.6375,0.7751,0.6795,0.7661
42,0.6407,0.7723,0.6919,0.7594
43,0.6358,0.7744,0.7001,0.7593
44,0.6368,0.7737,0.6934,0.7612
45,0.6352,0.7735,0.7264,0.7493
46,0.6321,0.7774,0.6797,0.7660
47,0.6233,0.7788,0.6841,0.7698
48,0.6243,0.7810,0.7078,0.7586
49,0.6220,0.7795,0.6712,0.7696
50,0.6215,0.7805,0.6982,0.7602

Final Train Accuracy: 0.7805
Final Test Accuracy: 0.7602
