Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.5223,0.4614,1.1751,0.5931
2,1.2581,0.5536,1.1101,0.6086
3,1.1578,0.5912,1.0343,0.6360
4,1.0917,0.6175,0.9527,0.6648
5,1.0480,0.6311,1.0051,0.6438
6,1.0146,0.6436,0.8872,0.6960
7,0.9873,0.6544,0.8784,0.6950
8,0.9640,0.6615,0.8626,0.7024
9,0.9481,0.6688,0.9864,0.6504
10,0.9297,0.6730,0.8171,0.7198
11,0.9076,0.6817,0.8115,0.7201
12,0.8986,0.6829,0.7927,0.7248
13,0.8829,0.6894,0.7841,0.7267
14,0.8722,0.6951,0.8385,0.7014
15,0.8631,0.6958,0.7959,0.7252
16,0.8549,0.7003,0.8064,0.7169
17,0.8457,0.7043,0.7621,0.7363
18,0.8328,0.7091,0.7805,0.7265
19,0.8295,0.7087,0.7558,0.7346
20,0.8160,0.7126,0.7549,0.7373
21,0.8130,0.7141,0.7603,0.7401
22,0.8018,0.7197,0.7598,0.7355
23,0.7961,0.7214,0.7560,0.7397
24,0.7951,0.7238,0.7729,0.7325
25,0.7899,0.7221,0.7527,0.7390
26,0.7868,0.7226,0.7400,0.7390
27,0.7792,0.7253,0.8007,0.7209
28,0.7761,0.7292,0.7445,0.7421
29,0.7656,0.7308,0.8194,0.7141
30,0.7645,0.7339,0.7254,0.7456
31,0.7624,0.7327,0.7742,0.7304
32,0.7525,0.7346,0.7191,0.7495
33,0.7534,0.7343,0.7377,0.7400
34,0.7495,0.7375,0.7317,0.7463
35,0.7440,0.7384,0.7197,0.7491
36,0.7370,0.7426,0.7294,0.7511
37,0.7381,0.7404,0.7198,0.7497
38,0.7346,0.7420,0.7200,0.7491
39,0.7304,0.7416,0.7221,0.7490
40,0.7301,0.7445,0.7357,0.7429
41,0.7230,0.7463,0.7285,0.7462
42,0.7226,0.7460,0.7178,0.7501
43,0.7223,0.7467,0.7245,0.7522
44,0.7158,0.7500,0.7761,0.7312
45,0.7167,0.7482,0.7125,0.7543
46,0.7152,0.7478,0.7422,0.7464
47,0.7104,0.7492,0.7224,0.7509
48,0.7071,0.7508,0.7430,0.7446
49,0.7116,0.7503,0.6990,0.7609
50,0.7040,0.7528,0.7134,0.7549

Final Train Accuracy: 0.7528
Final Test Accuracy: 0.7549
