Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.5644,0.4388,1.2225,0.5624
2,1.2856,0.5419,1.0814,0.6177
3,1.1798,0.5861,1.0338,0.6318
4,1.1137,0.6044,0.9386,0.6712
5,1.0615,0.6267,0.8772,0.6920
6,1.0233,0.6391,0.8892,0.6910
7,0.9935,0.6489,0.8493,0.7054
8,0.9643,0.6628,0.8609,0.7000
9,0.9478,0.6652,0.8538,0.6990
10,0.9343,0.6724,0.8171,0.7162
11,0.9106,0.6801,0.8334,0.7086
12,0.8959,0.6858,0.7757,0.7360
13,0.8875,0.6858,0.8936,0.6838
14,0.8700,0.6935,0.7940,0.7231
15,0.8618,0.6983,0.8560,0.6966
16,0.8481,0.7035,0.8262,0.7096
17,0.8350,0.7069,0.7955,0.7201
18,0.8308,0.7102,0.7509,0.7399
19,0.8210,0.7132,0.7740,0.7282
20,0.8159,0.7147,0.7431,0.7444
21,0.8091,0.7158,0.7257,0.7474
22,0.8015,0.7183,0.7056,0.7556
23,0.8003,0.7211,0.7985,0.7229
24,0.7906,0.7228,0.7199,0.7530
25,0.7818,0.7254,0.7227,0.7506
26,0.7745,0.7288,0.7065,0.7566
27,0.7704,0.7296,0.7382,0.7414
28,0.7735,0.7298,0.7140,0.7512
29,0.7619,0.7329,0.7162,0.7511
30,0.7564,0.7338,0.7444,0.7425
31,0.7528,0.7355,0.7190,0.7512
32,0.7479,0.7368,0.6933,0.7626
33,0.7464,0.7374,0.6890,0.7640
34,0.7420,0.7395,0.6984,0.7582
35,0.7399,0.7405,0.6924,0.7616
36,0.7303,0.7439,0.6912,0.7646
37,0.7349,0.7414,0.6799,0.7637
38,0.7253,0.7441,0.6871,0.7634
39,0.7242,0.7471,0.6831,0.7614
40,0.7254,0.7454,0.7297,0.7490
41,0.7176,0.7466,0.7536,0.7382
42,0.7166,0.7497,0.6813,0.7689
43,0.7141,0.7491,0.6854,0.7683
44,0.7125,0.7493,0.6668,0.7764
45,0.7061,0.7520,0.6836,0.7646
46,0.7127,0.7503,0.6620,0.7765
47,0.7071,0.7509,0.7095,0.7567
48,0.7013,0.7524,0.6681,0.7723
49,0.7029,0.7544,0.6701,0.7704
50,0.6986,0.7542,0.7029,0.7553

Final Train Accuracy: 0.7542
Final Test Accuracy: 0.7553
