Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.4339,0.4864,1.1005,0.6115
2,1.1528,0.5888,1.0030,0.6417
3,1.0482,0.6290,0.9325,0.6747
4,0.9851,0.6530,0.8705,0.6978
5,0.9309,0.6734,0.8338,0.7080
6,0.8911,0.6868,0.8518,0.6989
7,0.8581,0.6993,0.7792,0.7247
8,0.8329,0.7088,0.7818,0.7257
9,0.8034,0.7182,0.7608,0.7340
10,0.7833,0.7267,0.7616,0.7342
11,0.7673,0.7335,0.7290,0.7463
12,0.7417,0.7405,0.7538,0.7378
13,0.7312,0.7426,0.7150,0.7489
14,0.7122,0.7499,0.7005,0.7564
15,0.6996,0.7543,0.6913,0.7588
16,0.6900,0.7596,0.6977,0.7586
17,0.6705,0.7652,0.7762,0.7283
18,0.6627,0.7669,0.6964,0.7606
19,0.6504,0.7734,0.7436,0.7407
20,0.6426,0.7761,0.6738,0.7654
21,0.6321,0.7774,0.6959,0.7597
22,0.6233,0.7825,0.6744,0.7631
23,0.6117,0.7834,0.7035,0.7556
24,0.6063,0.7869,0.6962,0.7558
25,0.5948,0.7904,0.6949,0.7578
26,0.5900,0.7909,0.6753,0.7667
27,0.5813,0.7958,0.6593,0.7688
28,0.5828,0.7943,0.6868,0.7651
29,0.5760,0.7980,0.6648,0.7711
30,0.5665,0.8003,0.7480,0.7443
31,0.5656,0.8021,0.6830,0.7611
32,0.5580,0.8042,0.7115,0.7576
33,0.5574,0.8046,0.6495,0.7748
34,0.5416,0.8105,0.6523,0.7735
35,0.5421,0.8096,0.6512,0.7752
36,0.5433,0.8069,0.6533,0.7754
37,0.5332,0.8115,0.6499,0.7729
38,0.5338,0.8102,0.6501,0.7775
39,0.5269,0.8155,0.6534,0.7756
40,0.5212,0.8163,0.6538,0.7728
41,0.5150,0.8187,0.7036,0.7588
42,0.5218,0.8160,0.6523,0.7747
43,0.5131,0.8176,0.6423,0.7754
44,0.5136,0.8197,0.6453,0.7786
45,0.5075,0.8227,0.6417,0.7740
46,0.4974,0.8233,0.6409,0.7807
47,0.5045,0.8225,0.6712,0.7714
48,0.5068,0.8229,0.6436,0.7813
49,0.4962,0.8260,0.6425,0.7809
50,0.4992,0.8235,0.6740,0.7682

Final Train Accuracy: 0.8235
Final Test Accuracy: 0.7682
