====================
Model: ESPCN
Scale: x2
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 050] train_loss=0.0075 | train_psnr=25.29 dB | val_loss=0.0049 | val_psnr=26.74 dB | time=2.3s
[Epoch 051] train_loss=0.0072 | train_psnr=25.45 dB | val_loss=0.0048 | val_psnr=26.78 dB | time=2.4s
[Epoch 052] train_loss=0.0070 | train_psnr=25.55 dB | val_loss=0.0047 | val_psnr=26.82 dB | time=2.1s
[Epoch 053] train_loss=0.0070 | train_psnr=25.58 dB | val_loss=0.0047 | val_psnr=26.76 dB | time=2.1s
[Epoch 054] train_loss=0.0069 | train_psnr=25.63 dB | val_loss=0.0045 | val_psnr=27.04 dB | time=2.1s
[Epoch 055] train_loss=0.0067 | train_psnr=25.80 dB | val_loss=0.0046 | val_psnr=26.72 dB | time=2.1s
[Epoch 056] train_loss=0.0066 | train_psnr=25.78 dB | val_loss=0.0044 | val_psnr=27.23 dB | time=2.1s
[Epoch 057] train_loss=0.0065 | train_psnr=25.87 dB | val_loss=0.0043 | val_psnr=27.25 dB | time=2.2s
[Epoch 058] train_loss=0.0064 | train_psnr=26.03 dB | val_loss=0.0043 | val_psnr=27.21 dB | time=2.3s
[Epoch 059] train_loss=0.0063 | train_psnr=26.03 dB | val_loss=0.0042 | val_psnr=27.47 dB | time=2.1s
[Epoch 060] train_loss=0.0062 | train_psnr=26.23 dB | val_loss=0.0041 | val_psnr=27.54 dB | time=2.0s
[Epoch 061] train_loss=0.0061 | train_psnr=26.28 dB | val_loss=0.0041 | val_psnr=27.36 dB | time=2.1s
[Epoch 062] train_loss=0.0061 | train_psnr=26.16 dB | val_loss=0.0040 | val_psnr=27.63 dB | time=2.2s
[Epoch 063] train_loss=0.0060 | train_psnr=26.32 dB | val_loss=0.0039 | val_psnr=27.73 dB | time=2.1s
[Epoch 064] train_loss=0.0060 | train_psnr=26.32 dB | val_loss=0.0039 | val_psnr=27.58 dB | time=2.1s
[Epoch 065] train_loss=0.0057 | train_psnr=26.48 dB | val_loss=0.0038 | val_psnr=27.70 dB | time=2.3s
[Epoch 066] train_loss=0.0057 | train_psnr=26.52 dB | val_loss=0.0038 | val_psnr=27.91 dB | time=2.3s
[Epoch 067] train_loss=0.0056 | train_psnr=26.59 dB | val_loss=0.0037 | val_psnr=27.95 dB | time=2.4s
[Epoch 068] train_loss=0.0056 | train_psnr=26.63 dB | val_loss=0.0037 | val_psnr=27.82 dB | time=2.2s
[Epoch 069] train_loss=0.0055 | train_psnr=26.69 dB | val_loss=0.0036 | val_psnr=28.05 dB | time=2.3s
[Epoch 070] train_loss=0.0054 | train_psnr=26.83 dB | val_loss=0.0036 | val_psnr=27.95 dB | time=2.3s
[Epoch 071] train_loss=0.0053 | train_psnr=26.80 dB | val_loss=0.0035 | val_psnr=28.17 dB | time=2.2s
[Epoch 072] train_loss=0.0053 | train_psnr=26.83 dB | val_loss=0.0035 | val_psnr=28.22 dB | time=2.1s
[Epoch 073] train_loss=0.0053 | train_psnr=26.83 dB | val_loss=0.0034 | val_psnr=28.30 dB | time=2.1s
[Epoch 074] train_loss=0.0051 | train_psnr=27.05 dB | val_loss=0.0035 | val_psnr=27.81 dB | time=2.3s
[Epoch 075] train_loss=0.0051 | train_psnr=27.04 dB | val_loss=0.0034 | val_psnr=28.39 dB | time=2.3s
[Epoch 076] train_loss=0.0050 | train_psnr=27.14 dB | val_loss=0.0033 | val_psnr=28.47 dB | time=2.2s
[Epoch 077] train_loss=0.0049 | train_psnr=27.11 dB | val_loss=0.0033 | val_psnr=28.49 dB | time=2.3s
[Epoch 078] train_loss=0.0049 | train_psnr=27.32 dB | val_loss=0.0033 | val_psnr=28.22 dB | time=2.1s
