====================
Model: ESPCN
Scale: x3
Epochs: 500
Batch Size: 16
Patch Size: 96
LR: 1e-4
Optimizer: Adam
Criterion: MSE
====================
[Epoch 001] train_loss=0.3250 | train_psnr=10.94 dB | val_loss=0.1114 | val_psnr=12.98 dB | time=2.4s
[Epoch 002] train_loss=0.1253 | train_psnr=13.61 dB | val_loss=0.0702 | val_psnr=14.18 dB | time=1.7s
[Epoch 003] train_loss=0.0909 | train_psnr=14.51 dB | val_loss=0.0562 | val_psnr=14.89 dB | time=1.7s
[Epoch 004] train_loss=0.0737 | train_psnr=15.13 dB | val_loss=0.0483 | val_psnr=15.47 dB | time=1.6s
[Epoch 005] train_loss=0.0635 | train_psnr=15.65 dB | val_loss=0.0427 | val_psnr=15.99 dB | time=1.6s
[Epoch 006] train_loss=0.0555 | train_psnr=16.16 dB | val_loss=0.0382 | val_psnr=16.47 dB | time=1.7s
[Epoch 007] train_loss=0.0494 | train_psnr=16.63 dB | val_loss=0.0344 | val_psnr=17.05 dB | time=1.7s
[Epoch 008] train_loss=0.0451 | train_psnr=17.05 dB | val_loss=0.0313 | val_psnr=17.54 dB | time=1.7s
[Epoch 009] train_loss=0.0415 | train_psnr=17.45 dB | val_loss=0.0287 | val_psnr=17.97 dB | time=1.7s
[Epoch 010] train_loss=0.0377 | train_psnr=17.96 dB | val_loss=0.0264 | val_psnr=18.45 dB | time=1.7s
[Epoch 011] train_loss=0.0354 | train_psnr=18.20 dB | val_loss=0.0244 | val_psnr=18.87 dB | time=1.6s
[Epoch 012] train_loss=0.0327 | train_psnr=18.64 dB | val_loss=0.0228 | val_psnr=19.16 dB | time=1.7s
[Epoch 013] train_loss=0.0306 | train_psnr=18.95 dB | val_loss=0.0214 | val_psnr=19.60 dB | time=1.7s
[Epoch 014] train_loss=0.0290 | train_psnr=19.16 dB | val_loss=0.0200 | val_psnr=19.94 dB | time=1.7s
[Epoch 015] train_loss=0.0269 | train_psnr=19.55 dB | val_loss=0.0191 | val_psnr=20.24 dB | time=1.7s
[Epoch 016] train_loss=0.0254 | train_psnr=19.90 dB | val_loss=0.0180 | val_psnr=20.53 dB | time=1.7s
[Epoch 017] train_loss=0.0243 | train_psnr=20.07 dB | val_loss=0.0171 | val_psnr=20.82 dB | time=1.8s
[Epoch 018] train_loss=0.0231 | train_psnr=20.27 dB | val_loss=0.0164 | val_psnr=21.16 dB | time=1.7s
[Epoch 019] train_loss=0.0221 | train_psnr=20.51 dB | val_loss=0.0156 | val_psnr=21.39 dB | time=1.7s
[Epoch 020] train_loss=0.0215 | train_psnr=20.64 dB | val_loss=0.0149 | val_psnr=21.63 dB | time=1.7s
[Epoch 021] train_loss=0.0200 | train_psnr=20.93 dB | val_loss=0.0143 | val_psnr=21.82 dB | time=1.7s
[Epoch 022] train_loss=0.0195 | train_psnr=21.08 dB | val_loss=0.0137 | val_psnr=21.98 dB | time=1.7s
[Epoch 023] train_loss=0.0184 | train_psnr=21.30 dB | val_loss=0.0133 | val_psnr=22.22 dB | time=1.7s
[Epoch 024] train_loss=0.0180 | train_psnr=21.47 dB | val_loss=0.0128 | val_psnr=22.40 dB | time=1.7s
[Epoch 025] train_loss=0.0175 | train_psnr=21.56 dB | val_loss=0.0123 | val_psnr=22.47 dB | time=1.7s
[Epoch 026] train_loss=0.0164 | train_psnr=21.83 dB | val_loss=0.0119 | val_psnr=22.73 dB | time=1.5s
[Epoch 027] train_loss=0.0162 | train_psnr=21.90 dB | val_loss=0.0116 | val_psnr=22.89 dB | time=1.7s
[Epoch 028] train_loss=0.0155 | train_psnr=22.11 dB | val_loss=0.0112 | val_psnr=22.90 dB | time=1.6s
[Epoch 029] train_loss=0.0150 | train_psnr=22.19 dB | val_loss=0.0108 | val_psnr=23.13 dB | time=1.5s
[Epoch 030] train_loss=0.0148 | train_psnr=22.30 dB | val_loss=0.0105 | val_psnr=23.28 dB | time=1.7s
[Epoch 031] train_loss=0.0143 | train_psnr=22.41 dB | val_loss=0.0103 | val_psnr=23.30 dB | time=1.6s
[Epoch 032] train_loss=0.0142 | train_psnr=22.48 dB | val_loss=0.0100 | val_psnr=23.52 dB | time=1.6s
