序号,竞赛名称,加分细则
B47,第一作者发表计算机学科相关学术论文(华科第一作者),"CCF A/B/C类加5/4/2分,共同第一作者根据共一作者人数平均折算分数,最多两篇,1)会议论文指“Full paper” 或“Regular paper” (正式发表的长文),Short paper 、 Demo paper 、Technical Brief、 Summary 以及伴随会议的workshop 等不计入。2)共同第一作者根据人数平均折算分数，多篇论文不叠加"
B48,全国大学生创新创业训练计划年会展示,"项目负责人5分,项目组成员排名第1者2分,排名第2、3者1分"
B49,国家级大学生创新创业训练计划重点支持领域项目,"项目负责人4分,项目组成员排名第1者1分,排名第2、3者0.5分"
C1,国家级大学生创新创业训练计划项目,"项目负责人1分,项目组成员排名第1者0.5分,排名第2、3者0.25分"
C2,全国计算机技术与软件专业技术资格（水平）考试  ,"高级加2分,其他级别不加分"
C3,美国大学生数学建模竞赛,O/F/M/H奖加2/1.5/1/0.5分
C4,全国大学生英语竞赛,1/2/3等加2/1.5/1分
C5,全国大学英语四六级考试口语考试  ,"六级优秀加0.8分,四级优秀加0.5分，不叠加"
C6,国家级或国际级文艺类比赛,"国赛1/2/3等奖加2/1.5/1分,省赛1/2等奖加0.8/0.5"
C7,国家级或国际级体育类竞赛,"国赛1/2/3等奖加2/1.5/1分,省赛1/2等奖加0.8/0.5"
C8,湖北省大学生社会调查大赛  ,省赛1/2等奖加0.8/0.5
C9,思政类荣誉,国家/省/校级荣誉加2/1/0.5分
C10,世界大学生超级计算机竞赛(包括 ASC、 SC 、ISC),"国赛1/2/3等奖加2/1.5/1分,省赛1/2等奖加0.8/0.5"
C11,国产CPU并行应用挑战赛(CPC),"国赛1/2/3等奖加2/1.5/1分,省赛1/2等奖加0.8/0.5"
C12,全国并行应用挑战赛(PAC),"国赛1/2/3等奖加2/1.5/1分,省赛1/2等奖加0.8/0.5"
C13,ACM中国国际并行计算挑战赛(IPCC),"国赛1/2/3等奖加2/1.5/1分,省赛1/2等奖加0.8/0.5"
C14,大学生RDMA编程挑战赛(RDMA),"国赛1/2/3等奖加2/1.5/1分,省赛1/2等奖加0.8/0.5"
C15,华为软件精英挑战赛,"国赛1/2/3等奖加2/1.5/1分,省赛1/2等奖加0.8/0.5"
C16,全国大学生信息存储竞赛,"国赛1/2/3等奖加2/1.5/1分,省赛1/2等奖加0.8/0.5"
C17,CCF大学生系统与程序设计竞赛(CCSP),"国赛1/2/3等奖加2/1.5/1分,省赛不加分"
C18,中国大学生程序设计竞赛(CCPC),"国赛1/2/3等奖加2/1.5/1分,省赛不加分"
C19,中国软件开源创新大赛,国赛1/2/3等奖或金/银/铜奖加2/1/0.5分，省赛不加分
C20,集成电路EDA设计精英挑战赛,国赛1/2/3等奖或金/银/铜奖加2/1/0.5分，省赛不加分
,CSP成绩加分,"加(CSP成绩-150)*0.01  (150分以上可加)"
,非A类竞赛国赛第四名起按名次递减0.2分,
